Aluguel,Condominio,IPTU,Venda,age_imovel,area_total,area_util,banheiro,city,commonareas,diverseareas,neigghborhood,privateareas,quarto,saletype,street,suite,title,vaga
,,,224990,1,95,61,2,Curitiba,Fitness/Sala de Ginástica,Aceita FGTS,Portão,,3,Apartamento,"R. João Bettega,",1,João Bettega Home Club - Apartamento Com 3 Dormitórios E 1 Vaga Coberta,1
,,1713,17980000,,716,716,5,,,,,Piso frio,4,Casa,,4,Casa à Venda - no Jardim Paulista,4
,,,,,,,,,,,,,,,,,Parque Chapada Das Oliveiras,
,,161,630000,,137,194,3,São Paulo,,,Parque Mandaqui,Churrasqueira,3,Casa,R ARTHUR MAZZETTI,1,"Sobrado Próximo Da Av Engenheiro Caetano Alvares, Aceita Permuta Por Apto De Menor Valor.",2
7500,800,200,,,,50,1,São Paulo,Salão de festas,,Higienópolis,Armário embutido,2,Apartamento,Rua Piauí 305,0,Apartamento para Aluguel - em Higienópolis,2
,390,70,290000,,75,75,2,Paulínia,Espaço Gourmet,,Centro,Churrasqueira,2,Apartamento,Sob Consulta,1,Apartamento à Venda - no Centro,1
,,,500000,,,84,3,Camaçari,,,Barra de Jacuipe,,3,Casa,Rua Divino Espirito Santo,3,Bela Casa em Condomínio Com 3 Suítes.,2
,,,680000,18,120,100,2,Itapema,Sistema de alarme,,Meia Praia,Mobiliado,3,Apartamento,Rua 222 115,1,"Apartamento Residencial para Venda E Locação, Meia Praia, Itapema.",1
,,,,,,,,,Espaço Gourmet,,,,,,,,Parque Jardim Da Costa,
,,,374000,,,87,3,Praia Grande,Fitness/Sala de Ginástica,,Vila Guilhermina,Suítes,2,Apartamento,Rua Ipanema 472,2,"Apartamento A Venda, Vila Guilhermina, Praia Grande. Due Fratelli Residence",2
1250,400,10,,5,35,28,1,Curitiba,Salão de festas,Andares,Centro,Mobiliado,1,Apartamento,Rua Barão do Rio Branco,0,100% Mobiliado E Central - Com Wifi - Ao Lado Shopping Estação,0
,,,,,,,,,,,,,,,,,Hub - Business,
2800,1,,,5,25000,83,2,Santos,Espaço Gourmet,,Marapé,Permite animais,3,Apartamento,AV DOUTOR MOURA RIBEIRO 125,1,Oportunidade Única!,1
,11400,32000,4780000,,618,618,7,Rio de Janeiro,,,Centro,,,Comercial,Rodrigo Silva,,Comercial à Venda - no Centro,0
,,,,,,,,,Espaço Gourmet,,,Piso frio,,,,,Cenário Da Montanha,
,356,2890,1600000,,268,300,4,Mogi das Cruzes,Salão de festas,,Centro,Suítes,3,Casa,Avenida Expedicionário José Barca (Res.Bella Cittá) 43,3,Maravilhosa Casa Com Piscina E 3 Suítes no Condomínio Bella Citta,5
,220,800,199900,Em construção,48,47,1,Osasco,Fitness/Sala de Ginástica,Aceita FGTS,Padroeira,Piso frio,2,Apartamento,Rua Achiles Beline,0,Apartamentos 2 Dormitórios Minha Casa Minha Vida!,1
,700,263,900000,2,104,104,1,Rio de Janeiro,Interfone,,Recreio dos Bandeirantes,Cerca,3,Apartamento,Rua Clóvis Salgado,1,Apartamento à Venda - no Recreio Dos Bandeirantes,2
,306,,190000,,,43,1,São Paulo,,Andares,Bela Vista,Área de serviço,2,Apartamento,AVENIDA NOVE DE JULHO 481,,700 m Do Metrô Anhangabaú (9 Minutos A Pé).,
,,,309000,3,102,60,2,Curitiba,,,Hauer,Suítes,2,Apartamento,Rua Waldemar Kost 1397,1,"Apartamento Residencial à Venda, Hauer, Curitiba.",1
47768,8465,,,,2654,2654,10,São Paulo,Restaurante,,Jardim Tupi,,0,Comercial,AV Tower Automotivi,0,"Galpão Industrial Próximo A Dutra em Arujá 2.653,76 m&sup2;",12
1800,2000,200,,17,500,30,1,São Paulo,Elevador,,Jardim Europa,Suítes,1,Apartamento,R JERÔNIMO DA VEIGA 248,1,Clarion Faria Lima É Um Excelente Flat Com A Melhor Localização!,1
,,,,,,,,,,,,,,,,,Cidade Maia Jardim,
,,,699000,1,229,229,4,Rio de Janeiro,Espaço Gourmet,Aceita FGTS,Recreio dos Bandeirantes,Suítes,3,Apartamento,Rua Wilfred Penha Borges,1,"Cobertura à Venda, 229 m, R$699 Mil, Recreio",2
3500,1051,195,,,,120,2,São Paulo,Salão de festas,,Vila Clementino,Armário embutido,3,Apartamento,Rua Doutor Diogo de Faria 513,1,Apartamento para Aluguel - na Vila Clementino,2
17000,5110,2647,3550000,,579,281,5,São Paulo,Fitness/Sala de Ginástica,,Vila Madalena,Ar condicionado,3,Apartamento,Girassol 50,3,Apartamento Impecável na Vila Madalena,4
,,,,,,,,,Fitness/Sala de Ginástica,,,Piso frio,,,,,Duos Residencial,
,500,260,1300000,1,360,270,4,Indaiatuba,Área Verde,Ocupado,Residencial Beira da Mata,Suítes,3,Casa,"Rua tarumã,",0,"Casa à Venda no Condomínio Beira Da Mata em Indaiatuba, Sp",4
1500,500,,,,,65,1,São Paulo,Salão de festas,,Vila das Mercês,Armário embutido,3,Apartamento,Rua Marques de Lages 1532,0,Apartamento para Aluguel - em Vila Das Mercês,1
,743,,870000,26,,126,3,Brasília,Elevador,Aceita FGTS,Asa Norte,Suítes,3,Apartamento,SQN 105 BLOCO J,1,Sqn 105 - Espetacular Apto Nascente - Reforma,0
1600,740,69,,,,127,2,São Bernardo do Campo,Salão de festas,,Jardim do Mar,Armário embutido,3,Apartamento,Rua Domiciano Rossi 320,1,Apartamento para Aluguel - no Jardim Do Mar,1
,284,70,168000,,,60,1,Praia Grande,,,Cidade Ocian,,2,Apartamento,Nao Informado,,Apartamento à Venda - na Cidade Ocian,1
,,,,,,,,,Fitness/Sala de Ginástica,,,Varanda,,,,,Platina 220 Residencial,
,260,100,279900,2,58,58,2,Guarulhos,Fitness/Sala de Ginástica,Aceita FGTS,Jardim Flor da Montanha,Churrasqueira,2,Apartamento,Rua Dona Tecla,1,Apartamento no Bosque Maia 58 m 2 Dorms Com 1 Suíte Itbi E Registro Grátis!,1
,,,130000,5,370,,,Santana de Parnaíba,Salão de festas,,Suru,Churrasqueira,,Terreno,Rua Sabiá 769,,"Terreno para Venda - Santana De Parnaíba / Sp, Bairro Suru",
3329,2470,200,,,57,42,1,São Paulo,,,Moema,Mobiliado,2,Apartamento,Avenida Ibirapuera 2927,,"Flat Temporada para Locação, Moema, São Paulo.",1
,,,1750000,7,360,227,5,Curitiba,Fitness/Sala de Ginástica,,Mossunguê,Suítes,4,Apartamento,R. Dep. Heitor Alencar Furtado,3,Ed. Belvedere - 4 Quartos 3 Vagas no Ecoville Andar Alto Face Norte,3
