Aluguel,Condominio,IPTU,Venda,age_imovel,area_total,area_util,banheiro,city,commonareas,diverseareas,neigghborhood,privateareas,quarto,saletype,street,suite,title,vaga,price_rent_total
,,,224990.0,1,95.0,61.0,2.0,Curitiba,Fitness/Sala de Ginástica,Aceita FGTS,Portão,,3.0,Apartamento,"R. João Bettega,",1.0,João Bettega Home Club - Apartamento Com 3 Dormitórios E 1 Vaga Coberta,1.0,
,,1713.0,17980000.0,,716.0,716.0,5.0,,,,,Piso frio,4.0,Casa,,4.0,Casa à Venda - no Jardim Paulista,4.0,
,,161.0,630000.0,,137.0,194.0,3.0,São Paulo,,,Parque Mandaqui,Churrasqueira,3.0,Casa,R ARTHUR MAZZETTI,1.0,"Sobrado Próximo Da Av Engenheiro Caetano Alvares, Aceita Permuta Por Apto De Menor Valor.",2.0,
7500.0,800.0,200.0,,,,50.0,1.0,São Paulo,Salão de festas,,Higienópolis,Armário embutido,2.0,Apartamento,Rua Piauí 305,0.0,Apartamento para Aluguel - em Higienópolis,2.0,8300.0
,390.0,70.0,290000.0,,75.0,75.0,2.0,Paulínia,Espaço Gourmet,,Centro,Churrasqueira,2.0,Apartamento,Sob Consulta,1.0,Apartamento à Venda - no Centro,1.0,
,,,500000.0,,,84.0,3.0,Camaçari,,,Barra de Jacuipe,,3.0,Casa,Rua Divino Espirito Santo,3.0,Bela Casa em Condomínio Com 3 Suítes.,2.0,
,,,680000.0,18,120.0,100.0,2.0,Itapema,Sistema de alarme,,Meia Praia,Mobiliado,3.0,Apartamento,Rua 222 115,1.0,"Apartamento Residencial para Venda E Locação, Meia Praia, Itapema.",1.0,
,,,374000.0,,,87.0,3.0,Praia Grande,Fitness/Sala de Ginástica,,Vila Guilhermina,Suítes,2.0,Apartamento,Rua Ipanema 472,2.0,"Apartamento A Venda, Vila Guilhermina, Praia Grande. Due Fratelli Residence",2.0,
1250.0,400.0,10.0,,5,35.0,28.0,1.0,Curitiba,Salão de festas,Andares,Centro,Mobiliado,1.0,Apartamento,Rua Barão do Rio Branco,0.0,100% Mobiliado E Central - Com Wifi - Ao Lado Shopping Estação,0.0,1650.0
2800.0,1.0,,,5,25000.0,83.0,2.0,Santos,Espaço Gourmet,,Marapé,Permite animais,3.0,Apartamento,AV DOUTOR MOURA RIBEIRO 125,1.0,Oportunidade Única!,1.0,2801.0
,11400.0,32000.0,4780000.0,,618.0,618.0,7.0,Rio de Janeiro,,,Centro,,,Comercial,Rodrigo Silva,,Comercial à Venda - no Centro,0.0,
,356.0,2890.0,1600000.0,,268.0,300.0,4.0,Mogi das Cruzes,Salão de festas,,Centro,Suítes,3.0,Casa,Avenida Expedicionário José Barca (Res.Bella Cittá) 43,3.0,Maravilhosa Casa Com Piscina E 3 Suítes no Condomínio Bella Citta,5.0,
,220.0,800.0,199900.0,Em construção,48.0,47.0,1.0,Osasco,Fitness/Sala de Ginástica,Aceita FGTS,Padroeira,Piso frio,2.0,Apartamento,Rua Achiles Beline,0.0,Apartamentos 2 Dormitórios Minha Casa Minha Vida!,1.0,
,700.0,263.0,900000.0,2,104.0,104.0,1.0,Rio de Janeiro,Interfone,,Recreio dos Bandeirantes,Cerca,3.0,Apartamento,Rua Clóvis Salgado,1.0,Apartamento à Venda - no Recreio Dos Bandeirantes,2.0,
,306.0,,190000.0,,,43.0,1.0,São Paulo,,Andares,Bela Vista,Área de serviço,2.0,Apartamento,AVENIDA NOVE DE JULHO 481,,700 m Do Metrô Anhangabaú (9 Minutos A Pé).,,
,,,309000.0,3,102.0,60.0,2.0,Curitiba,,,Hauer,Suítes,2.0,Apartamento,Rua Waldemar Kost 1397,1.0,"Apartamento Residencial à Venda, Hauer, Curitiba.",1.0,
47768.0,8465.0,,,,2654.0,2654.0,10.0,São Paulo,Restaurante,,Jardim Tupi,,0.0,Comercial,AV Tower Automotivi,0.0,"Galpão Industrial Próximo A Dutra em Arujá 2.653,76 m&sup2;",12.0,56233.0
1800.0,2000.0,200.0,,17,500.0,30.0,1.0,São Paulo,Elevador,,Jardim Europa,Suítes,1.0,Apartamento,R JERÔNIMO DA VEIGA 248,1.0,Clarion Faria Lima É Um Excelente Flat Com A Melhor Localização!,1.0,3800.0
,,,699000.0,1,229.0,229.0,4.0,Rio de Janeiro,Espaço Gourmet,Aceita FGTS,Recreio dos Bandeirantes,Suítes,3.0,Apartamento,Rua Wilfred Penha Borges,1.0,"Cobertura à Venda, 229 m, R$699 Mil, Recreio",2.0,
3500.0,1051.0,195.0,,,,120.0,2.0,São Paulo,Salão de festas,,Vila Clementino,Armário embutido,3.0,Apartamento,Rua Doutor Diogo de Faria 513,1.0,Apartamento para Aluguel - na Vila Clementino,2.0,4551.0
17000.0,5110.0,2647.0,3550000.0,,579.0,281.0,5.0,São Paulo,Fitness/Sala de Ginástica,,Vila Madalena,Ar condicionado,3.0,Apartamento,Girassol 50,3.0,Apartamento Impecável na Vila Madalena,4.0,22110.0
,500.0,260.0,1300000.0,1,360.0,270.0,4.0,Indaiatuba,Área Verde,Ocupado,Residencial Beira da Mata,Suítes,3.0,Casa,"Rua tarumã,",0.0,"Casa à Venda no Condomínio Beira Da Mata em Indaiatuba, Sp",4.0,
1500.0,500.0,,,,,65.0,1.0,São Paulo,Salão de festas,,Vila das Mercês,Armário embutido,3.0,Apartamento,Rua Marques de Lages 1532,0.0,Apartamento para Aluguel - em Vila Das Mercês,1.0,2000.0
,743.0,,870000.0,26,,126.0,3.0,Brasília,Elevador,Aceita FGTS,Asa Norte,Suítes,3.0,Apartamento,SQN 105 BLOCO J,1.0,Sqn 105 - Espetacular Apto Nascente - Reforma,0.0,
1600.0,740.0,69.0,,,,127.0,2.0,São Bernardo do Campo,Salão de festas,,Jardim do Mar,Armário embutido,3.0,Apartamento,Rua Domiciano Rossi 320,1.0,Apartamento para Aluguel - no Jardim Do Mar,1.0,2340.0
,284.0,70.0,168000.0,,,60.0,1.0,Praia Grande,,,Cidade Ocian,,2.0,Apartamento,Nao Informado,,Apartamento à Venda - na Cidade Ocian,1.0,
,260.0,100.0,279900.0,2,58.0,58.0,2.0,Guarulhos,Fitness/Sala de Ginástica,Aceita FGTS,Jardim Flor da Montanha,Churrasqueira,2.0,Apartamento,Rua Dona Tecla,1.0,Apartamento no Bosque Maia 58 m 2 Dorms Com 1 Suíte Itbi E Registro Grátis!,1.0,
,,,130000.0,5,370.0,,,Santana de Parnaíba,Salão de festas,,Suru,Churrasqueira,,Terreno,Rua Sabiá 769,,"Terreno para Venda - Santana De Parnaíba / Sp, Bairro Suru",,
3329.0,2470.0,200.0,,,57.0,42.0,1.0,São Paulo,,,Moema,Mobiliado,2.0,Apartamento,Avenida Ibirapuera 2927,,"Flat Temporada para Locação, Moema, São Paulo.",1.0,5799.0
,,,1750000.0,7,360.0,227.0,5.0,Curitiba,Fitness/Sala de Ginástica,,Mossunguê,Suítes,4.0,Apartamento,R. Dep. Heitor Alencar Furtado,3.0,Ed. Belvedere - 4 Quartos 3 Vagas no Ecoville Andar Alto Face Norte,3.0,
,,,20000.0,,800.0,800.0,0.0,Araçoiaba da Serra,Poço artesiano,,Centro,Pasto,0.0,Rural,Araçoiaba da serra,0.0,Araçoiaba Da Serra R$20.000,0.0,
,542.0,652.0,370900.0,6,101.0,68.0,2.0,Curitiba,Fitness/Sala de Ginástica,Aceita FGTS,Jardim Botânico,Suítes,2.0,Apartamento,Rua São Januário,1.0,Paseo De Gracia - 2 Dormitórios - Jardim Botânico,1.0,
,,1184.0,2000000.0,,720.0,183.0,2.0,Florianópolis,WC para empregados,,Praia Brava,Cozinha americana,3.0,Casa,Ennio Demaria Cavallazzi 347,0.0,Casa à Venda - na Praia Brava,2.0,
,1100.0,412.0,1050000.0,20,,112.0,0.0,São Paulo,Fitness/Sala de Ginástica,,Moema,Suítes,3.0,Apartamento,DOS EUCALIPTOS,1.0,Apt Unico! Pronto para Morar - Lazer - 2vg,2.0,
1490.0,395.0,,,3,75.0,75.0,1.0,Curitiba,Área Verde,,Batel,Mobiliado,2.0,Apartamento,Rua Brigadeiro Franco 2825,0.0,2 Dorm. - Pequeno Principe,1.0,1885.0
1700.0,880.0,290.0,,,96.0,96.0,1.0,São Paulo,Fitness/Sala de Ginástica,,Santana,Escritório,3.0,Apartamento,NOVA CANTAREIRA,1.0,Apartamento para Aluguel - em Santana,2.0,2580.0
,476.0,1.0,457000.0,33,,58.0,2.0,São Paulo,Fitness/Sala de Ginástica,,Praça da Árvore,Varanda,2.0,Apartamento,Bosque da saude 1,0.0,Apartamento à Venda - em Praça Da Árvore,1.0,
,2500.0,8543.0,2750000.0,23,534.0,393.0,5.0,Curitiba,Fitness/Sala de Ginástica,,Cabral,Suítes,4.0,Apartamento,Manoel Eufrasio 235,2.0,"Maravilhoso, Andar Alto! J8 Imóveis",4.0,
,2850.0,592.0,2620000.0,,,245.0,3.0,Rio de Janeiro,,Andares,Barra da Tijuca,,4.0,Apartamento,AVENIDA DAS AMÉRICAS 6250,1.0,Apartamento - Barra Da Tijuca,3.0,
,220.0,,208900.0,1,42.0,42.0,1.0,São Bernardo do Campo,Fitness/Sala de Ginástica,Aceita FGTS,Jurubatuba,Suítes,1.0,Apartamento,RUA DR FELICIO LAURITO,0.0,Start Club Sao Bernardo 208 Mil Pronto - Use Seu Fgts na Entrada,1.0,
