,Aluguel,Condominio,IPTU,Venda,age_imovel,area_total,area_util,banheiro,city,commonareas,diverseareas,neigghborhood,privateareas,quarto,saletype,street,suite,title,vaga,price_rent_total
849,1810,1360,230,,19,29,28,1,São Paulo,Fitness/Sala de Ginástica,,Jardins,Suítes,1,Apartamento,"Rua Haddock Lobo, 294",1,Locação De Flat Nos Jardins – Tryp Paulista – Flat & Flats 11 5042 - 6200,1,18101360
850,,,,880000,2,201,126,3,Curitiba,Fitness/Sala de Ginástica,,Campina do Siqueira,Suítes,3,Apartamento,Rua Monsenhor Ivo Zanlorenzi 2460,3,Apartamento à Venda - em Campina Do Siqueira,1,
851,,800,25,540000,,,61,1,São Paulo,,,Aclimação,,2,Apartamento,Rua José Getúlio 310,,"Apartamento Residencial à Venda, Aclimação, São Paulo.",1,
852,,1400,2500,1090000,,110,110,0,Rio de Janeiro,Espaço Gourmet,,Barra da Tijuca,Ar condicionado,2,Apartamento,Rua Jacarandás da Península,2,Apartamento Barra Da Tijuca,2,
853,126000,,,21000000,,20000,7000,,Pindamonhangaba,,,Alto do Cardoso,Guarita,0,Comercial,Avenida Nossa Senhora do Bom Sucesso 3400,,"Galpão Industrial para Venda E Locação, Alto Do Cardoso, Pindamonhangaba.",,
854,,,,594200,,132,74,2,Curitiba,Salão de festas,,Água Verde,Churrasqueira,2,Apartamento,Rua Brigadeiro Franco 3204,1,"Apartamento à Venda, Água Verde, Curitiba.",2,
855,,500,120,390900,1,30,30,1,São Paulo,Salão de festas,,Consolação,Aceita Financiamento,1,Apartamento,Rua Pedro Taques 80,0,Apartamento - Consolação,1,
856,,300,700,280000,1,67,67,2,Diadema,Espaço Gourmet,Aceita FGTS,Centro,Suítes,3,Apartamento,"Avenida Alda, 1550",1,Conquista Chácara Dos Pêssegos Diadema - Apartamento 3 Dorms,1,
857,,4100,1126,6850000,,322,322,5,São Paulo,Sauna,,Vila Olímpia,Churrasqueira,3,Apartamento,R ELVIRA FERRAZ,3,Apto Moderno E Sofisticado na Vl Olimpia/itaim,5,
858,950,85,,,,,56,1,,Portão Eletrônico,,,,2,Apartamento,,,Apartamento Novo Conjunto Água Branca,1,95085
859,,,,1279801,1,141,141,5,São Paulo,Fitness/Sala de Ginástica,Aceita FGTS,Vila Leopoldina,Suítes,4,Apartamento,Avenida Imperatriz Leopoldina,2,Apartamento Com 4 Dorms 2 Suites E 2 Vagas + Deposito - Lazer Completíssimo!,2,
860,,,,7500000,,2778,2778,,São José dos Pinhais,Acesso asfaltado,,São Pedro,Aceita Financiamento,0,Terreno,Rua General Catão Menna Barreto Monclaro 505,,Proprietário Estuda Permuta Por Área Construída!,,
861,,1,1,998000,1,330,251,4,Curitiba,Elevador,,Ecoville,Suítes,3,Apartamento,"Pedro Viriato Parigot , Ecoville, Curitiba",3,Acquarelle Residence Ecoville - 3 Suítes & 2 Vagas,2,
862,,840,,730000,1,,158,3,Águas Claras,Forno de pizza,Aceita FGTS,Aguas Norte,Suítes,4,Apartamento,Rua 8 Norte,3,Apartamento Reformado 4 Quartos Residencial Boulevard - Águas Claras/df,2,
863,1600,200,112,,,116,73,2,Florianópolis,Salão de festas,,Campeche,Churrasqueira,2,Apartamento,Cavalo Marinho 202,1,"62142 - Apartamento no Campeche, Florianópolis - Sc.",1,1600200
864,,470,570,380000,3,130,70,2,Curitiba,,,Capão Raso,Mobiliado,3,Apartamento,Rua Francisco Raitani 6120,1,"Apartamento 3 Dormitórios, Mobiliado em Condomínio Clube Capão Raso, Curitiba.",1,
865,,300,,279000,1,103,103,2,Rio de Janeiro,Área Verde,Aceita FGTS,Campo Grande,Suítes,3,Casa,Rua Campina Grande,1,Colline Verte,1,
866,,250,2713,2200000,,555,555,8,Brasília,Estacionamento para visitantes,,Park Way,Churrasqueira,5,Casa,SMPW Quadra 5 Conjunto 6,2,Quadra Smpw 05,,
867,,,,5300000,,411,259,4,Balneário Camboriú,Espaço Gourmet,,Barra Sul,Mobiliado,4,Apartamento,Avenida Atlantica,4,Ocean Palace Residence,4,
868,,,400,550540,,169,93,2,Brusque,,,Santa Rita,,3,Apartamento,Rua Victor Meirelles 112,1,Apartamento 3 Quartos - 100% Mobiliado E Decorado,2,
869,,,,1197000,Em construção,77,77,2,Rio de Janeiro,Espaço Gourmet,,Botafogo,Suítes,3,Apartamento,Rua Henrique de Novais,1,"Trio, Apartamento à Venda na Rua Henrique De Novais, Botaforgo",1,
870,,800,1800,1700000,4,195,135,4,Balneário Camboriú,Fitness/Sala de Ginástica,Andares,Centro,Mobiliado,3,Apartamento,Rua 2700 2650,3,Apartamento De 3 Suítes no Centro De Balneário Camboriú no 33º Andar,2,
871,,914,173,610100,,,94,3,Osasco,,,Vila Yara,Suítes,3,Apartamento,Rua Víctor Brecheret 520,,"Apartamento Residencial à Venda, Vila Yara, Osasco.",2,
872,,,200,890000,34,218,129,2,São Paulo,,,Vila Anastácio,Piso frio,3,Casa,R CONSELHEIRO CÂNDIDO DE OLIVEIRA,0,Oportunidade Casa Terreia na Vila Anastácio,4,
873,,790,,1145200,,240,145,3,Curitiba,Espaço Gourmet,,Água Verde,SPA,3,Apartamento,RUA BRIGADEIRO FRANCO 3204,1,Apartamento à Venda - na Água Verde,2,
874,15000,2500,2000,,,,380,0,Florianópolis,,,Centro,Mezanino,0,Comercial,R TEN SILVEIRA 834,0,Loja em Florianopolis - Centro,2,150002500
875,3700,1608,278,,,271,,,Curitiba,Salão de festas,,Batel,Suítes,4,Apartamento,Buenos Aires 600,2,Espaço E Conforto no Coração Do Batel,2,37001608
876,,,,240000,,37,37,1,São Paulo,,,Cidade Patriarca,,2,Apartamento,RUA CAMPO MAIOR 289,0,Apartamento à Venda - na Penha,1,
877,24,3,,,,,,,Carapicuíba,,,Parque Santa Teresa,,0,Comercial,Nao Informado,,Comercial para Aluguel - no Parque Santa Teresa,,243
878,,,,530000,,250,138,1,Hortolândia,,,Jardim de Mônaco,,3,Casa,,1,Casa à Venda - no Jardim De Mônaco,2,
879,,,,120000,10,120,100,2,Rio de Janeiro,Acesso asfaltado,Ocupado,Santa Cruz,Piso frio,3,Casa,Rua 8,0,Espetacular Residência Toda Reformada Nova Sepetiba + Casa Fundos,4,
880,2200,1495,228,,,86,86,1,São Paulo,Salão de festas,,Moema,Guarita,2,Apartamento,Avenida Aratas,0,"Apartamento para Locação, Moema, São Paulo",1,22001495
